income,time_to_offer_view_mean,time_to_offer_completion_mean,offers_received,offers_view_ratio,offers_completion_ratio,time_since_last_transaction_mean,amount_mean,discount_mean
65404.9915682968,13.2,96.0,5.0,1.0,0.4,37.333333333333336,2.2666666666666666,5.0
112000.0,26.93682023935016,120.0,1.0,0.0,1.0,170.0,25.67,5.0
65404.9915682968,0.0,66.66907781431033,1.0,1.0,0.0,94.0,2.3833333333333333,0.0
100000.0,28.0,80.0,3.0,1.0,1.0,57.42857142857143,22.752857142857145,10.0
65404.9915682968,27.0,66.66907781431033,3.0,0.6666667,0.0,126.0,1.5499999999999998,0.0
70000.0,16.0,66.0,3.0,1.0,0.6666667,78.0,19.243333333333336,7.0
65404.9915682968,66.0,66.66907781431033,5.0,0.8,0.0,150.0,0.12,0.0
53000.0,14.0,86.4,6.0,1.0,0.8333333,180.0,12.143333333333333,6.333333333333333
65404.9915682968,15.0,54.0,3.0,0.6666667,0.33333334,79.0,2.603333333333333,5.0
65404.9915682968,48.0,108.0,3.0,1.0,0.33333334,68.66666666666667,7.378888888888889,10.0
65404.9915682968,9.0,144.0,4.0,1.0,0.25,77.25,2.13875,3.0
51000.0,6.0,120.0,2.0,1.0,0.5,88.5,3.905,2.0
57000.0,19.5,38.0,4.0,1.0,0.75,70.0,14.258333333333333,8.333333333333334
46000.0,6.0,120.0,6.0,0.16666667,0.16666667,56.18181818181818,5.11090909090909,5.0
71000.0,34.8,46.5,6.0,0.8333333,0.6666667,35.25,20.03125,2.75
52000.0,6.0,78.0,2.0,0.5,0.5,70.66666666666667,16.01222222222222,10.0
65404.9915682968,58.5,66.66907781431033,4.0,1.0,0.0,124.8,0.8,0.0
42000.0,0.0,66.0,4.0,0.25,0.5,89.0,3.1833333333333336,4.0
40000.0,30.0,66.66907781431033,2.0,0.5,0.0,68.57142857142857,2.968571428571429,0.0
71000.0,33.0,36.0,5.0,0.8,1.0,39.75,18.7925,3.2
